country,year,population
South Korea,2023,"51,784,059"
South Korea,2022,"51,815,810"
South Korea,2020,"51,844,690"
South Korea,2015,"50,994,401"
South Korea,2010,"48,813,042"
South Korea,2005,"47,889,573"
South Korea,2000,"46,788,591"
South Korea,1995,"45,393,418"
South Korea,1990,"44,120,039"
South Korea,1985,"41,232,709"
South Korea,1980,"38,170,501"
South Korea,1975,"35,930,694"
South Korea,1970,"32,601,143"
South Korea,1965,"29,179,407"
South Korea,1960,"25,817,529"
South Korea,1955,"22,075,008"
